,index,Means per day,Schedule ,Beds,index_int,scenarios,Measure 
5,3.0_new_schedule,8.55595238095238, Baseline + weekends,40,3.0,"high_los, prop_high", Lost slots
6,4.0,0.0, Baseline,45,4.0,"low_los, prop_low", Lost slots
7,4.0_new_schedule,0.0, Baseline + weekends,45,4.0,"low_los, prop_low", Lost slots
8,5.0,2.948968253968254, Baseline,50,5.0,"high_los, prop_high", Lost slots
9,5.0_new_schedule,6.880079365079365, Baseline + weekends,50,5.0,"high_los, prop_high", Lost slots
10,6.0,0.0, Baseline,55,6.0,"low_los, prop_low", Lost slots
11,6.0_new_schedule,0.0, Baseline + weekends,55,6.0,"low_los, prop_low", Lost slots
12,7.0,1.9412698412698413, Baseline,60,7.0,"high_los, prop_high", Lost slots
13,7.0_new_schedule,5.195277777777778, Baseline + weekends,60,7.0,"high_los, prop_high", Lost slots
14,8.0,0.0, Baseline,65,8.0,"low_los, prop_low", Lost slots
15,8.0_new_schedule,0.0, Baseline + weekends,65,8.0,"low_los, prop_low", Lost slots
16,9.0,0.8006349206349207, Baseline,70,9.0,"high_los, prop_high", Lost slots
17,9.0_new_schedule,3.6690476190476184, Baseline + weekends,70,9.0,"high_los, prop_high", Lost slots
18,10.0,0.0025396825396825397, Baseline,30,10.0,"low_los, prop_low", Lost slots
19,10.0_new_schedule,0.1153968253968254, Baseline + weekends,30,10.0,"low_los, prop_low", Lost slots
20,11.0,5.642023809523809, Baseline,35,11.0,"high_los, prop_high", Lost slots
21,11.0_new_schedule,9.430992063492065, Baseline + weekends,35,11.0,"high_los, prop_high", Lost slots
22,12.0,0.0, Baseline,40,12.0,"low_los, prop_low", Lost slots
23,12.0_new_schedule,0.0, Baseline + weekends,40,12.0,"low_los, prop_low", Lost slots
24,13.0,3.9747222222222223, Baseline,45,13.0,"high_los, prop_high", Lost slots
25,13.0_new_schedule,7.678849206349207, Baseline + weekends,45,13.0,"high_los, prop_high", Lost slots
26,14.0,0.0, Baseline,50,14.0,"low_los, prop_low", Lost slots
27,14.0_new_schedule,0.0, Baseline + weekends,50,14.0,"low_los, prop_low", Lost slots
28,15.0,2.4676984126984123, Baseline,55,15.0,"high_los, prop_high", Lost slots
29,15.0_new_schedule,5.958730158730158, Baseline + weekends,55,15.0,"high_los, prop_high", Lost slots
30,16.0,0.0, Baseline,60,16.0,"low_los, prop_low", Lost slots
31,16.0_new_schedule,0.0, Baseline + weekends,60,16.0,"low_los, prop_low", Lost slots
32,17.0,1.2768253968253969, Baseline,65,17.0,"high_los, prop_high", Lost slots
33,17.0_new_schedule,4.362063492063492, Baseline + weekends,65,17.0,"high_los, prop_high", Lost slots
34,18.0,0.0, Baseline,70,18.0,"low_los, prop_low", Lost slots
35,18.0_new_schedule,0.0, Baseline + weekends,70,18.0,"low_los, prop_low", Lost slots
36,19.0,5.583214285714286, Baseline,30,19.0,"high_los, prop_low", Lost slots
37,19.0_new_schedule,9.560595238095237, Baseline + weekends,30,19.0,"high_los, prop_low", Lost slots
38,20.0,0.1891269841269841, Baseline,35,20.0,"low_los, prop_high", Lost slots
39,20.0_new_schedule,1.7198412698412702, Baseline + weekends,35,20.0,"low_los, prop_high", Lost slots
40,21.0,3.974960317460318, Baseline,40,21.0,"high_los, prop_low", Lost slots
41,21.0_new_schedule,7.612380952380953, Baseline + weekends,40,21.0,"high_los, prop_low", Lost slots
42,22.0,0.0006349206349206349, Baseline,45,22.0,"low_los, prop_high", Lost slots
43,22.0_new_schedule,0.1353968253968254, Baseline + weekends,45,22.0,"low_los, prop_high", Lost slots
44,23.0,2.529642857142857, Baseline,50,23.0,"high_los, prop_low", Lost slots
45,23.0_new_schedule,5.68, Baseline + weekends,50,23.0,"high_los, prop_low", Lost slots
46,24.0,0.0, Baseline,55,24.0,"low_los, prop_high", Lost slots
47,24.0_new_schedule,0.001587301587301587, Baseline + weekends,55,24.0,"low_los, prop_high", Lost slots
48,25.0,1.0714285714285714, Baseline,60,25.0,"high_los, prop_low", Lost slots
49,25.0_new_schedule,3.906150793650794, Baseline + weekends,60,25.0,"high_los, prop_low", Lost slots
50,26.0,0.0, Baseline,65,26.0,"low_los, prop_high", Lost slots
51,26.0_new_schedule,0.0, Baseline + weekends,65,26.0,"low_los, prop_high", Lost slots
52,27.0,0.1834920634920635, Baseline,70,27.0,"high_los, prop_low", Lost slots
53,27.0_new_schedule,2.293174603174603, Baseline + weekends,70,27.0,"high_los, prop_low", Lost slots
54,28.0,0.8309126984126983, Baseline,30,28.0,"low_los, prop_high", Lost slots
55,28.0_new_schedule,3.185238095238095, Baseline + weekends,30,28.0,"low_los, prop_high", Lost slots
56,29.0,4.860555555555556, Baseline,35,29.0,"high_los, prop_low", Lost slots
57,29.0_new_schedule,8.53059523809524, Baseline + weekends,35,29.0,"high_los, prop_low", Lost slots
58,30.0,0.010158730158730159, Baseline,40,30.0,"low_los, prop_high", Lost slots
59,30.0_new_schedule,0.5805555555555556, Baseline + weekends,40,30.0,"low_los, prop_high", Lost slots
60,31.0,3.154722222222222, Baseline,45,31.0,"high_los, prop_low", Lost slots
61,31.0_new_schedule,6.650992063492063, Baseline + weekends,45,31.0,"high_los, prop_low", Lost slots
62,32.0,0.0, Baseline,50,32.0,"low_los, prop_high", Lost slots
63,32.0_new_schedule,0.020714285714285716, Baseline + weekends,50,32.0,"low_los, prop_high", Lost slots
64,33.0,1.6955555555555557, Baseline,55,33.0,"high_los, prop_low", Lost slots
65,33.0_new_schedule,4.803571428571429, Baseline + weekends,55,33.0,"high_los, prop_low", Lost slots
66,34.0,0.0, Baseline,60,34.0,"low_los, prop_high", Lost slots
67,34.0_new_schedule,0.0, Baseline + weekends,60,34.0,"low_los, prop_high", Lost slots
68,35.0,0.5279365079365079, Baseline,65,35.0,"high_los, prop_low", Lost slots
69,35.0_new_schedule,3.1082539682539685, Baseline + weekends,65,35.0,"high_los, prop_low", Lost slots
70,36.0,0.0, Baseline,70,36.0,"low_los, prop_high", Lost slots
71,36.0_new_schedule,0.0, Baseline + weekends,70,36.0,"low_los, prop_high", Lost slots
